num_clusters,silhouette_scores,sse_scores,algorithm,min_samples,epsilon,scaler
2,0.5025482154807042,2143.8977169365844,gmm,,,robust
3,0.4132917461076142,1347.8809718439502,gmm,,,robust
4,0.13683718525067096,41130.34289846328,gmm,,,robust
5,0.14601545003155172,20854.19273205893,gmm,,,robust
6,0.15450786827566135,174063.35892027256,gmm,,,robust
2,0.7069340383879119,1739.04901300138,kmeans,,,robust
3,0.574737170433042,1163.3779617670646,kmeans,,,robust
4,0.5573464399755997,875.6013178008433,kmeans,,,robust
5,0.27183268574822284,693.9650351619413,kmeans,,,robust
6,0.2666253327327777,596.3139109818145,kmeans,,,robust
2,0.8383299980854196,113619.79971510814,agglomerative,,,robust
3,0.5228519181598902,19217.998296855014,agglomerative,,,robust
4,0.5215699127341346,123184.17496413118,agglomerative,,,robust
5,0.4147475184705973,35966.01858559152,agglomerative,,,robust
6,0.22993772458720696,27404.003907806054,agglomerative,,,robust
3,0.544276573315852,2316.6673811824453,DBSCAN,2.0,1.05,robust
3,0.6988328832268439,1762.892793849284,DBSCAN,3.0,1.5,robust
2,0.8300172875355575,1954.5459934872933,DBSCAN,4.0,1.6,robust
2,0.8165525255805047,1882.2164970953831,DBSCAN,5.0,1.7,robust
2,0.8116356029598468,1843.6202751253977,DBSCAN,6.0,1.7,robust
