num_clusters,silhouette_scores,sse_scores,algorithm,min_samples,epsilon,scaler
2,0.21202507491387973,1747.4741421319195,gmm,,,standard
3,0.18635271471300083,1447.6722130869243,gmm,,,standard
4,0.056845737550530316,1429.8856225918541,gmm,,,standard
5,0.019718158137650266,1400.9519203036245,gmm,,,standard
6,0.015039021118989164,1254.4826163650084,gmm,,,standard
7,-0.0043810107890786595,1240.7197277729867,gmm,,,standard
8,0.019086348358223287,1127.9178039681292,gmm,,,standard
2,0.23293572801213736,1568.2004622567883,kmeans,,,standard
3,0.2470613169497155,1284.7639748936463,kmeans,,,standard
4,0.2402836124472042,1057.2485654040624,kmeans,,,standard
5,0.2323109748882744,917.2897828783418,kmeans,,,standard
6,0.23897416920286943,813.4266601731916,kmeans,,,standard
7,0.2465200891031674,737.7076801014906,kmeans,,,standard
8,0.23866597580770207,668.1444814105995,kmeans,,,standard
2,0.19178391567540007,1676.0787456121982,agglomerative,,,standard
3,0.19877403806699442,1388.8003272899489,agglomerative,,,standard
4,0.21429230946323194,1134.2785336923773,agglomerative,,,standard
5,0.20914960030590374,993.2923152631181,agglomerative,,,standard
6,0.18408181043996827,894.9311882155409,agglomerative,,,standard
7,0.18721399387742219,804.8009737694063,agglomerative,,,standard
8,0.19655665994505073,739.8906738242453,agglomerative,,,standard
6,0.10463650374423016,1706.838047686458,DBSCAN,2.0,0.95,standard
3,0.2130947217899324,1769.6724372358433,DBSCAN,3.0,1.1,standard
2,0.5016853053028211,1769.1170985006468,DBSCAN,4.0,1.3,standard
2,0.5312807424881327,1747.8494587762607,DBSCAN,5.0,1.5,standard
2,0.5711387618180274,1737.2959839892646,DBSCAN,6.0,1.6,standard
2,0.5923540217240093,1729.6885728415527,DBSCAN,7.0,1.7,standard
2,0.5923540217240093,1729.6885728415527,DBSCAN,8.0,1.7,standard
